City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Rocha,UY,-34.4833,-54.3333,49.37,82,2,4.88,clear sky
79,Port Elizabeth,ZA,-33.918,25.5701,63.32,90,53,1.01,broken clouds
80,Yulara,AU,-25.2406,130.9889,48.45,28,0,7.4,clear sky
81,Anadyr,RU,64.75,177.4833,50.5,53,40,29.08,scattered clouds
82,Privolzhye,RU,52.8649,48.6044,66.34,89,53,9.57,broken clouds
83,Marawi,PH,7.9986,124.2928,68.79,96,100,3.04,overcast clouds
84,Nanortalik,GL,60.1432,-45.2371,46.29,82,83,1.25,broken clouds
85,Laguna,US,38.421,-121.4238,101.75,20,0,5.99,clear sky
86,Cidreira,BR,-30.1811,-50.2056,57.81,91,0,6.02,clear sky
87,Bredasdorp,ZA,-34.5322,20.0403,54.45,84,100,2.19,overcast clouds
88,Ramanuj Ganj,IN,23.8,83.7,77.05,82,100,4.59,overcast clouds
89,Udachnyy,RU,66.4167,112.4,48.96,78,99,5.01,overcast clouds
90,Dikson,RU,73.5069,80.5464,43.79,81,99,13.04,overcast clouds
91,Vaini,TO,-21.2,-175.2,74.55,80,68,21.3,broken clouds
92,Requena,ES,39.4883,-1.1004,73.8,53,0,5.14,clear sky
93,Barrow,US,71.2906,-156.7887,45.23,74,100,12.68,overcast clouds
94,Monywa,MM,22.1167,95.1333,84.34,68,100,10.74,overcast clouds
95,Ilulissat,GL,69.2167,-51.1,51.82,62,20,3.44,few clouds
96,Amahai,ID,-3.3333,128.9167,75.43,91,68,2.24,broken clouds
97,Mahebourg,MU,-20.4081,57.7,69.26,70,72,23.31,light rain
98,Vanavara,RU,60.34,102.2797,57.02,97,100,2.37,moderate rain
99,Roald,NO,62.5833,6.1333,58.75,82,75,9.22,broken clouds
100,Jamestown,US,42.097,-79.2353,73.94,83,100,5.99,overcast clouds
101,Mar Del Plata,AR,-38.0023,-57.5575,51.82,76,20,10.0,few clouds
102,Lebu,CL,-37.6167,-73.65,47.53,70,88,6.42,overcast clouds
103,Ahipara,NZ,-35.1667,173.1667,59.63,85,79,12.06,broken clouds
104,Lorengau,PG,-2.0226,147.2712,80.53,76,96,4.94,overcast clouds
105,Xichang,CN,27.8964,102.2634,68.63,96,100,0.98,light rain
106,Temanggung,ID,-7.3162,110.1755,72.0,95,100,1.9,overcast clouds
107,Saskylakh,RU,71.9167,114.0833,43.47,79,100,13.22,overcast clouds
108,Bodden Town,KY,19.2833,-81.25,89.98,70,8,8.01,clear sky
109,Kyshtovka,RU,56.555,76.6271,56.37,80,94,6.58,overcast clouds
110,San Patricio,US,28.017,-97.5169,99.18,44,52,16.31,broken clouds
111,Talnakh,RU,69.4865,88.3972,55.54,63,96,3.98,overcast clouds
112,Hamina,FI,60.5697,27.1979,60.08,79,99,7.9,overcast clouds
113,Egvekinot,RU,66.3167,-179.1667,40.05,55,100,13.04,overcast clouds
114,Brae,GB,60.3964,-1.353,56.12,82,93,6.85,overcast clouds
115,Laela,TZ,-8.5667,32.05,55.56,66,24,3.47,few clouds
116,Pamplona,ES,42.8169,-1.6432,93.11,17,0,10.36,clear sky
117,Pevek,RU,69.7008,170.3133,32.83,80,100,1.99,overcast clouds
118,Port Hardy,CA,50.6996,-127.4199,58.01,84,100,4.61,overcast clouds
119,Nikolskoye,RU,59.7035,30.7861,53.49,91,49,3.94,scattered clouds
120,Chilca,PE,-12.5211,-76.7372,62.35,82,93,7.87,overcast clouds
121,Butaritari,KI,3.0707,172.7902,82.35,77,7,18.32,clear sky
122,Vardo,NO,70.3705,31.1107,55.38,82,32,6.91,scattered clouds
123,Quelimane,MZ,-17.8786,36.8883,66.27,94,4,0.29,clear sky
124,Cape Town,ZA,-33.9258,18.4232,57.11,82,16,8.01,few clouds
125,San Cristobal,VE,7.7669,-72.225,71.13,79,100,4.45,overcast clouds
126,Hambantota,LK,6.1241,81.1185,78.73,82,50,14.41,scattered clouds
127,Marsaxlokk,MT,35.8419,14.5431,81.21,74,0,8.05,clear sky
128,Manjeshwar,IN,12.7194,74.8861,76.15,85,100,2.89,overcast clouds
129,Berlevag,NO,70.8578,29.0864,64.4,72,0,4.61,clear sky
130,Tura,IN,25.5198,90.2201,74.25,97,98,5.14,overcast clouds
131,Sigli,ID,5.3848,95.9609,78.57,82,58,5.64,broken clouds
132,Poplar Bluff,US,36.757,-90.3929,91.33,66,43,1.01,scattered clouds
133,Begoro,GH,6.3871,-0.3774,68.67,86,99,5.68,overcast clouds
134,Dzaoudzi,YT,-12.7887,45.2699,71.49,83,0,3.44,clear sky
135,Onega,RU,63.9061,38.1404,55.31,78,88,2.66,overcast clouds
136,Tasiilaq,GL,65.6145,-37.6368,44.76,83,56,2.66,broken clouds
137,Khandyga,RU,62.6667,135.6,70.48,51,100,6.53,overcast clouds
138,Labuhan,ID,-6.8844,112.2051,75.61,86,98,6.69,overcast clouds
139,Sabancuy,MX,18.9667,-91.1833,86.11,68,75,10.31,broken clouds
140,Kilindoni,TZ,-7.9139,39.6668,76.23,74,27,15.99,scattered clouds
141,Karratha,AU,-20.7377,116.8463,67.06,70,1,4.23,clear sky
142,Ribeira Grande,PT,38.5167,-28.7,73.38,90,20,5.1,few clouds
143,Provideniya,RU,64.3833,-173.3,41.36,87,100,13.42,overcast clouds
144,Ranong,TH,9.9658,98.6348,79.03,89,96,5.91,overcast clouds
145,Silifke,TR,36.3778,33.9344,83.68,50,0,11.41,clear sky
146,Coquimbo,CL,-29.9533,-71.3436,61.23,60,0,3.91,clear sky
147,Plettenberg Bay,ZA,-34.0527,23.3716,59.97,85,91,5.37,overcast clouds
148,Faanui,PF,-16.4833,-151.75,76.73,67,86,8.05,overcast clouds
149,Luangwa,ZM,-15.6167,30.4167,61.34,73,14,2.39,few clouds
150,Bantou,CN,26.2151,117.4893,77.27,97,100,1.74,overcast clouds
151,Bayan,CN,46.0833,127.4,64.26,97,49,5.06,scattered clouds
152,Carnarvon,AU,-24.8667,113.6333,61.9,66,0,14.43,clear sky
153,Victoria,HK,22.2855,114.1577,86.38,82,100,5.01,overcast clouds
154,Taoudenni,ML,22.6783,-3.9836,100.81,6,0,5.39,clear sky
155,Kotka,FI,60.4664,26.9458,56.46,79,100,9.01,overcast clouds
156,Thompson,CA,55.7435,-97.8558,84.54,28,26,2.35,scattered clouds
157,Oranjemund,NA,-28.55,16.4333,55.8,93,27,6.73,scattered clouds
158,Ouesso,CG,1.6136,16.0517,70.09,99,100,0.63,overcast clouds
159,Bintulu,MY,3.1667,113.0333,76.46,80,100,2.89,overcast clouds
160,Estelle,US,29.8458,-90.1067,93.99,60,75,11.5,broken clouds
161,Norman Wells,CA,65.282,-126.8329,74.57,46,100,5.01,light rain
162,Pitimbu,BR,-7.4706,-34.8086,75.96,84,83,16.35,broken clouds
163,San Quintin,MX,30.4833,-115.95,76.1,61,1,10.71,clear sky
164,Mackay,AU,-21.15,149.2,53.69,84,0,8.34,clear sky
165,Codrington,AU,-38.2667,141.9667,46.47,75,100,5.06,overcast clouds
166,Georgetown,MY,5.4112,100.3354,82.33,92,20,2.3,few clouds
167,Ariquemes,BR,-9.9133,-63.0408,93.27,32,2,3.44,clear sky
168,Javanrud,IR,34.7961,46.5172,78.6,18,0,5.48,clear sky
169,Fortuna,US,40.5982,-124.1573,74.93,64,18,1.99,few clouds
170,Ahmadpur,IN,18.7,76.9333,72.18,90,97,10.87,overcast clouds
171,Fairbanks,US,64.8378,-147.7164,62.94,79,100,11.5,overcast clouds
172,Totness,SR,5.8833,-56.3167,80.17,87,56,7.65,broken clouds
173,Mayumba,GA,-3.432,10.6554,70.11,90,15,5.61,few clouds
174,Neepawa,CA,50.2289,-99.4664,79.81,70,20,12.33,few clouds
175,Schruns,AT,47.0709,9.9475,62.49,66,76,3.4,broken clouds
176,Mafinga,TZ,-7.25,35.0667,65.21,55,20,6.6,few clouds
177,Inhambane,MZ,-23.865,35.3833,68.56,88,4,2.95,clear sky
178,Beringovskiy,RU,63.05,179.3167,52.36,51,7,25.17,clear sky
179,Namatanai,PG,-3.6667,152.4333,79.52,77,96,7.81,overcast clouds
180,New Norfolk,AU,-42.7826,147.0587,42.93,86,89,2.51,overcast clouds
181,Pozo Colorado,PY,-23.4923,-58.7972,77.61,43,10,3.33,clear sky
182,Shingu,JP,33.7333,135.9833,79.84,87,100,8.75,moderate rain
183,The Valley,AI,18.217,-63.0578,85.82,75,4,19.19,clear sky
184,George,ZA,-33.963,22.4617,57.56,87,96,6.91,overcast clouds
185,Cape Coast,GH,5.1053,-1.2466,74.73,84,97,11.74,overcast clouds
186,Leningradskiy,RU,69.3833,178.4167,34.16,89,100,21.27,overcast clouds
187,Jiazi,CN,22.8779,116.067,81.59,91,100,7.78,overcast clouds
188,Colares,PT,38.7992,-9.4469,71.29,73,20,14.0,few clouds
189,Sokoni,TZ,-6.4333,39.55,76.1,77,4,16.22,clear sky
190,Beloha,MG,-25.1667,45.05,63.81,80,1,10.54,clear sky
191,Namibe,AO,-15.1961,12.1522,64.94,86,70,4.25,broken clouds
192,Asosa,ET,10.0667,34.5333,59.85,99,100,1.92,light rain
193,Ironton,US,38.5368,-82.6829,80.4,84,100,6.02,overcast clouds
194,Ulaanbaatar,MN,47.9077,106.8832,69.93,35,75,6.71,broken clouds
195,Meadow Lake,US,34.8014,-106.5436,98.29,19,26,7.14,scattered clouds
196,Adre,TD,13.4667,22.2,73.69,72,100,8.66,light rain
197,Kodiak,US,57.79,-152.4072,63.91,55,100,17.27,overcast clouds
198,Cap Malheureux,MU,-19.9842,57.6142,69.48,64,61,10.0,broken clouds
199,Taltal,CL,-25.4,-70.4833,64.08,64,12,4.27,few clouds
200,Yerofey Pavlovich,RU,53.9667,121.9667,60.13,97,10,2.28,clear sky
201,Severo-Kurilsk,RU,50.6789,156.125,55.11,90,95,6.8,overcast clouds
202,Hasaki,JP,35.7333,140.8333,79.2,83,100,14.61,overcast clouds
203,Boyolangu,ID,-8.1181,111.8935,74.39,89,92,2.26,overcast clouds
204,Tres Arroyos,AR,-38.3739,-60.2798,43.43,47,16,6.69,few clouds
205,Burayevo,RU,55.8407,55.4083,64.62,74,66,7.2,broken clouds
206,Kamaishi,JP,39.2667,141.8833,72.86,85,100,1.01,moderate rain
207,Amazar,RU,53.858,120.875,59.92,96,0,1.97,clear sky
208,Nelson Bay,AU,-32.7167,152.15,50.0,98,100,10.0,light rain
209,Ostersund,SE,63.1792,14.6357,51.62,93,100,4.61,overcast clouds
210,Harper,LR,4.375,-7.7169,74.44,78,92,9.8,overcast clouds
211,Westport,US,41.1415,-73.3579,80.15,96,100,14.97,mist
212,Black River,JM,18.0264,-77.8487,83.62,73,98,5.97,overcast clouds
213,Clyde River,CA,70.4692,-68.5914,41.18,79,54,5.84,broken clouds
214,Tallahassee,US,30.4383,-84.2807,87.85,74,75,1.99,broken clouds
215,Lafiagi,NG,8.8667,5.4167,77.2,75,72,3.96,broken clouds
216,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,88,20,4.61,few clouds
217,Kruisfontein,ZA,-34.0033,24.7314,59.88,91,73,2.1,broken clouds
218,Lazaro Cardenas,MX,17.9583,-102.2,86.09,65,100,8.46,overcast clouds
